Frame Count, Data Count, Touch Flag, Time, PPG 0, PPG 1, PPG 2, HR, SG, RET, 
1, 0, 1, 15.50, 4211345, 14599079, 765217, 0, 0, MSG_SUCCESS, 
1, 1, 1, 15.50, 9322359, 23759239, 1159071, 0, 0, MSG_SUCCESS, 
1, 2, 1, 15.50, 9802707, 29716987, 1499731, 0, 0, MSG_SUCCESS, 
1, 3, 1, 15.50, 10195175, 39638063, 1497365, 0, 0, MSG_SUCCESS, 
1, 4, 1, 15.50, 10415633, 56589933, 1469055, 0, 0, MSG_SUCCESS, 
1, 5, 1, 15.50, 10561663, 71507483, 1475965, 0, 0, MSG_SUCCESS, 
1, 6, 1, 15.50, 10728693, 72826559, 1483663, 0, 0, MSG_SUCCESS, 
1, 7, 1, 15.50, 10892779, 72856649, 1491933, 0, 0, MSG_SUCCESS, 
1, 8, 1, 15.50, 10937103, 72881601, 1504189, 0, 0, MSG_SUCCESS, 
1, 9, 1, 15.50, 10976035, 72941139, 1516689, 0, 0, MSG_SUCCESS, 
1, 10, 1, 15.50, 11015509, 73011815, 1529045, 0, 0, MSG_SUCCESS, 
1, 11, 1, 15.50, 11050129, 73084527, 1541873, 0, 0, MSG_SUCCESS, 
1, 12, 1, 15.50, 11082291, 73146743, 1553727, 0, 0, MSG_SUCCESS, 
1, 13, 1, 15.50, 11111003, 73208317, 1566399, 0, 0, MSG_SUCCESS, 
1, 14, 1, 15.50, 11142173, 73290557, 1578339, 0, 0, MSG_SUCCESS, 
1, 15, 1, 15.50, 11170917, 73348597, 1589621, 0, 0, MSG_SUCCESS, 
1, 16, 1, 15.50, 11195605, 73412421, 1599927, 0, 0, MSG_SUCCESS, 
1, 17, 1, 15.50, 11219207, 73452471, 1608685, 0, 0, MSG_SUCCESS, 
1, 18, 1, 15.50, 11240127, 73478063, 1618919, 0, 0, MSG_SUCCESS, 
1, 19, 1, 15.50, 11270915, 73528393, 1627663, 0, 0, MSG_SUCCESS, 
2, 0, 1, 10.60, 11303843, 73573583, 1638845, 0, 0, MSG_SUCCESS, 
2, 1, 1, 10.60, 11338143, 73629695, 1650871, 0, 0, MSG_SUCCESS, 
2, 2, 1, 10.60, 11365769, 73658395, 1663671, 0, 0, MSG_SUCCESS, 
2, 3, 1, 10.60, 11393139, 73690521, 1676815, 0, 0, MSG_SUCCESS, 
2, 4, 1, 10.60, 11415177, 73696731, 1690289, 0, 0, MSG_SUCCESS, 
2, 5, 1, 10.60, 11441877, 73709475, 1704323, 0, 0, MSG_SUCCESS, 
2, 6, 1, 10.60, 11461135, 73723503, 1719331, 0, 0, MSG_SUCCESS, 
2, 7, 1, 10.60, 11483077, 73756377, 1733623, 0, 0, MSG_SUCCESS, 
2, 8, 1, 10.60, 11504251, 73789573, 1748143, 0, 0, MSG_SUCCESS, 
2, 9, 1, 10.60, 11518751, 73825233, 1761229, 0, 0, MSG_SUCCESS, 
2, 10, 1, 10.60, 11538551, 73856181, 1774059, 0, 0, MSG_SUCCESS, 
2, 11, 1, 10.60, 11551773, 73868281, 1786831, 0, 0, MSG_SUCCESS, 
2, 12, 1, 10.60, 11567519, 73912079, 1799331, 0, 0, MSG_SUCCESS, 
2, 13, 1, 10.60, 11584127, 73935851, 1810081, 0, 0, MSG_SUCCESS, 
2, 14, 1, 10.60, 11597189, 73967227, 1821075, 0, 0, MSG_SUCCESS, 
2, 15, 1, 10.60, 11616161, 74004815, 1832155, 0, 0, MSG_SUCCESS, 
2, 16, 1, 10.60, 11629765, 74025589, 1842247, 0, 0, MSG_SUCCESS, 
2, 17, 1, 10.60, 11644265, 74046791, 1851721, 0, 0, MSG_SUCCESS, 
2, 18, 1, 10.60, 11660361, 74073991, 1862013, 0, 0, MSG_SUCCESS, 
2, 19, 1, 10.60, 11676459, 74100335, 1872205, 0, 0, MSG_SUCCESS, 
3, 0, 1, 10.60, 11691245, 74132889, 1882425, 0, 0, MSG_SUCCESS, 
3, 1, 1, 10.60, 11716189, 74149273, 1892459, 0, 0, MSG_SUCCESS, 
3, 2, 1, 10.60, 11727431, 74164265, 1902723, 0, 0, MSG_SUCCESS, 
3, 3, 1, 10.60, 11745189, 74181827, 1913057, 0, 0, MSG_SUCCESS, 
3, 4, 1, 10.60, 11761573, 74205813, 1922705, 0, 0, MSG_SUCCESS, 
3, 5, 1, 10.60, 11779233, 74217165, 1932423, 0, 0, MSG_SUCCESS, 
3, 6, 1, 10.60, 11795777, 74238581, 1942099, 0, 0, MSG_SUCCESS, 
3, 7, 1, 10.60, 11808681, 74251217, 1951861, 0, 0, MSG_SUCCESS, 
3, 8, 1, 10.60, 11827939, 74260641, 1960489, 0, 0, MSG_SUCCESS, 
3, 9, 1, 10.60, 11843429, 74271671, 1969505, 0, 0, MSG_SUCCESS, 
3, 10, 1, 10.60, 11858343, 74284521, 1978049, 0, 0, MSG_SUCCESS, 
3, 11, 1, 10.60, 11873099, 74289019, 1986835, 0, 0, MSG_SUCCESS, 
3, 12, 1, 10.60, 11888683, 74297477, 1995665, 0, 0, MSG_SUCCESS, 
3, 13, 1, 10.60, 11902641, 74304331, 2004181, 0, 0, MSG_SUCCESS, 
3, 14, 1, 10.60, 11914011, 74320823, 2015145, 0, 0, MSG_SUCCESS, 
3, 15, 1, 10.60, 11928669, 74340847, 2025337, 0, 0, MSG_SUCCESS, 
3, 16, 1, 10.60, 11941701, 74354983, 2035343, 0, 0, MSG_SUCCESS, 
3, 17, 1, 10.60, 11956583, 74396103, 2044703, 0, 0, MSG_SUCCESS, 
3, 18, 1, 10.60, 11966483, 74404027, 2054593, 0, 0, MSG_SUCCESS, 
3, 19, 1, 10.60, 11974691, 74402207, 2063725, 0, 0, MSG_SUCCESS, 
4, 0, 1, 10.60, 11976799, 74402207, 2071135, 0, 0, MSG_SUCCESS, 
4, 1, 1, 10.60, 11985839, 74395139, 2077485, 0, 0, MSG_SUCCESS, 
4, 2, 1, 10.60, 11980729, 74365369, 2084581, 0, 0, MSG_SUCCESS, 
4, 3, 1, 10.60, 11978173, 74332067, 2089167, 0, 0, MSG_SUCCESS, 
4, 4, 1, 10.60, 11977503, 74314825, 2093611, 0, 0, MSG_SUCCESS, 
4, 5, 1, 10.60, 11973989, 74289233, 2097497, 0, 0, MSG_SUCCESS, 
4, 6, 1, 10.60, 11973957, 74268565, 2101481, 0, 0, MSG_SUCCESS, 
4, 7, 1, 10.60, 11972169, 74257321, 2105753, 0, 0, MSG_SUCCESS, 
4, 8, 1, 10.60, 11970955, 74248755, 2110081, 0, 0, MSG_SUCCESS, 
4, 9, 1, 10.60, 11971593, 74249289, 2113637, 0, 0, MSG_SUCCESS, 
4, 10, 1, 10.60, 11967315, 74249397, 2117549, 0, 0, MSG_SUCCESS, 
4, 11, 1, 10.60, 11973095, 74248005, 2121735, 0, 0, MSG_SUCCESS, 
4, 12, 1, 10.60, 11972871, 74246185, 2125103, 0, 0, MSG_SUCCESS, 
4, 13, 1, 10.60, 11977215, 74252287, 2128615, 0, 0, MSG_SUCCESS, 
4, 14, 1, 10.60, 11983091, 74253465, 2132127, 0, 0, MSG_SUCCESS, 
4, 15, 1, 10.60, 11982517, 74243293, 2136041, 0, 0, MSG_SUCCESS, 
4, 16, 1, 10.60, 11986861, 74242543, 2139223, 0, 0, MSG_SUCCESS, 
4, 17, 1, 10.60, 11989735, 74246291, 2143537, 0, 0, MSG_SUCCESS, 
4, 18, 1, 10.60, 11988713, 74250039, 2146977, 0, 0, MSG_SUCCESS, 
4, 19, 1, 10.60, 11989287, 74232905, 2150805, 0, 0, MSG_SUCCESS, 
5, 0, 1, 10.60, 11992737, 74240081, 2154575, 0, 0, MSG_SUCCESS, 
5, 1, 1, 10.60, 12000913, 74243079, 2159005, 0, 0, MSG_SUCCESS, 
5, 2, 1, 10.60, 11996729, 74243829, 2162401, 0, 0, MSG_SUCCESS, 
5, 3, 1, 10.60, 12001201, 74270385, 2166387, 0, 0, MSG_SUCCESS, 
5, 4, 1, 10.60, 12006501, 74268887, 2171031, 0, 0, MSG_SUCCESS, 
5, 5, 1, 10.60, 12008833, 74275953, 2175273, 0, 0, MSG_SUCCESS, 
5, 6, 1, 10.60, 12012539, 74291589, 2179603, 0, 0, MSG_SUCCESS, 
5, 7, 1, 10.60, 12015061, 74288375, 2184519, 0, 0, MSG_SUCCESS, 
5, 8, 1, 10.60, 12017169, 74293729, 2187371, 0, 0, MSG_SUCCESS, 
5, 9, 1, 10.60, 12019053, 74293515, 2190869, 0, 0, MSG_SUCCESS, 
5, 10, 1, 10.60, 12024003, 74299513, 2194611, 0, 0, MSG_SUCCESS, 
5, 11, 1, 10.60, 12024547, 74296299, 2220179, 0, 0, MSG_SUCCESS, 
5, 12, 1, 10.60, 12027165, 74287947, 2256613, 0, 0, MSG_SUCCESS, 
5, 13, 1, 10.60, 12027421, 74290945, 2293033, 0, 0, MSG_SUCCESS, 
5, 14, 1, 10.60, 12028187, 74281201, 2329577, 0, 0, MSG_SUCCESS, 
5, 15, 1, 10.60, 12026399, 74272099, 2367141, 0, 0, MSG_SUCCESS, 
